,Date,Close
1612,2018-05-31,2.079
1611,2018-06-01,2.091
1610,2018-06-04,2.1
1609,2018-06-05,2.121
1608,2018-06-06,2.12
1607,2018-06-07,2.113
1606,2018-06-08,2.106
1605,2018-06-11,2.085
1604,2018-06-12,2.089
1603,2018-06-13,2.08
1602,2018-06-14,2.06
1601,2018-06-15,2.065
1600,2018-06-18,2.091
1599,2018-06-19,2.124
1598,2018-06-20,2.121
1597,2018-06-21,2.107
1596,2018-06-22,2.089
1595,2018-06-25,2.087
1594,2018-06-26,2.125
1593,2018-06-27,2.098
1592,2018-06-28,2.103
1591,2018-06-29,2.109
1590,2018-07-02,2.113
1589,2018-07-03,2.117
1588,2018-07-05,2.101
1587,2018-07-06,2.11
1586,2018-07-09,2.119
1585,2018-07-10,2.142
1584,2018-07-11,2.138
1583,2018-07-12,2.16
1582,2018-07-13,2.158
1581,2018-07-16,2.154
1580,2018-07-17,2.182
1579,2018-07-18,2.165
1578,2018-07-19,2.14
1577,2018-07-20,2.139
1576,2018-07-23,2.15
1575,2018-07-24,2.187
1574,2018-07-25,2.186
1573,2018-07-26,2.182
1572,2018-07-27,2.18
1571,2018-07-30,2.184
1570,2018-07-31,2.194
1569,2018-08-01,2.209
1568,2018-08-02,2.21
1567,2018-08-03,2.208
1566,2018-08-06,2.207
1565,2018-08-07,2.231
1564,2018-08-08,2.228
1563,2018-08-09,2.232
1562,2018-08-10,2.22
1561,2018-08-13,2.21
1560,2018-08-14,2.238
1559,2018-08-15,2.231
1558,2018-08-16,2.226
1557,2018-08-17,2.223
1556,2018-08-20,2.216
1555,2018-08-21,2.235
1554,2018-08-22,2.227
1553,2018-08-23,2.228
1552,2018-08-24,2.238
1551,2018-08-27,2.243
1550,2018-08-28,2.261
1549,2018-08-29,2.275
1548,2018-08-30,2.265
1547,2018-08-31,2.265
1546,2018-09-04,2.277
1545,2018-09-05,2.297
1544,2018-09-06,2.294
1543,2018-09-07,2.303
1542,2018-09-10,2.308
1541,2018-09-11,2.32
1540,2018-09-12,2.319
1539,2018-09-13,2.324
1538,2018-09-14,2.332
1537,2018-09-17,2.333
1536,2018-09-18,2.355
1535,2018-09-19,2.363
1534,2018-09-20,2.362
1533,2018-09-21,2.372
1532,2018-09-24,2.364
1531,2018-09-25,2.371
1530,2018-09-26,2.368
1529,2018-09-27,2.367
1528,2018-09-28,2.369
1527,2018-10-01,2.377
1526,2018-10-02,2.4
1525,2018-10-03,2.405
1524,2018-10-04,2.41
1523,2018-10-05,2.409
1522,2018-10-09,2.425
1521,2018-10-10,2.437
1520,2018-10-11,2.441
1519,2018-10-12,2.438
1518,2018-10-15,2.457
1517,2018-10-16,2.461
1516,2018-10-17,2.471
1515,2018-10-18,2.462
1514,2018-10-19,2.47
1513,2018-10-22,2.465
1512,2018-10-23,2.471
1511,2018-10-24,2.462
1510,2018-10-25,2.468
1509,2018-10-26,2.465
1508,2018-10-29,2.465
1507,2018-10-30,2.487
1506,2018-10-31,2.492
1505,2018-11-01,2.488
1504,2018-11-02,2.495
1503,2018-11-05,2.492
1502,2018-11-06,2.514
1501,2018-11-07,2.513
1500,2018-11-08,2.515
1499,2018-11-09,2.518
1498,2018-11-13,2.512
1497,2018-11-14,2.516
1496,2018-11-15,2.512
1495,2018-11-16,2.499
1494,2018-11-19,2.5
1493,2018-11-20,2.517
1492,2018-11-21,2.524
1491,2018-11-23,2.522
1490,2018-11-26,2.525
1489,2018-11-27,2.533
1488,2018-11-28,2.526
1487,2018-11-29,2.52
1486,2018-11-30,2.524
1485,2018-12-03,2.54
1484,2018-12-04,2.563
1483,2018-12-05,2.563
1482,2018-12-06,2.544
1481,2018-12-07,2.537
1480,2018-12-10,2.532
1479,2018-12-11,2.554
1478,2018-12-12,2.549
1477,2018-12-13,2.546
1476,2018-12-14,2.543
1475,2018-12-17,2.536
1474,2018-12-18,2.528
1473,2018-12-19,2.539
1472,2018-12-20,2.536
1471,2018-12-21,2.533
1470,2018-12-24,2.499
1469,2018-12-26,2.529
1468,2018-12-27,2.498
1467,2018-12-28,2.47
1466,2018-12-31,2.482
1465,2019-01-02,2.505
1464,2019-01-03,2.466
1463,2019-01-04,2.504
1462,2019-01-07,2.505
1461,2019-01-08,2.539
1460,2019-01-09,2.515
1459,2019-01-10,2.51
1458,2019-01-11,2.504
1457,2019-01-14,2.5
1456,2019-01-15,2.51
1455,2019-01-16,2.493
1454,2019-01-17,2.493
1453,2019-01-18,2.497
1452,2019-01-22,2.491
1451,2019-01-23,2.507
1450,2019-01-24,2.498
1449,2019-01-25,2.505
1448,2019-01-28,2.497
1447,2019-01-29,2.513
1446,2019-01-30,2.494
1445,2019-01-31,2.458
1444,2019-02-01,2.46
1443,2019-02-04,2.471
1442,2019-02-05,2.496
1441,2019-02-06,2.497
1440,2019-02-07,2.484
1439,2019-02-08,2.492
1438,2019-02-11,2.499
1437,2019-02-12,2.492
1436,2019-02-13,2.507
1435,2019-02-14,2.502
1434,2019-02-15,2.5
1433,2019-02-19,2.496
1432,2019-02-20,2.498
1431,2019-02-21,2.512
1430,2019-02-22,2.509
1429,2019-02-25,2.508
1428,2019-02-26,2.516
1427,2019-02-27,2.511
1426,2019-02-28,2.499
1425,2019-03-01,2.507
1424,2019-03-04,2.503
1423,2019-03-05,2.527
1422,2019-03-06,2.526
1421,2019-03-07,2.519
1420,2019-03-08,2.515
1419,2019-03-11,2.519
1418,2019-03-12,2.507
1417,2019-03-13,2.511
1416,2019-03-14,2.51
1415,2019-03-15,2.504
1414,2019-03-18,2.5
1413,2019-03-19,2.513
1412,2019-03-20,2.482
1411,2019-03-21,2.482
1410,2019-03-22,2.468
1409,2019-03-25,2.459
1408,2019-03-26,2.479
1407,2019-03-27,2.453
1406,2019-03-28,2.441
1405,2019-03-29,2.429
1404,2019-04-01,2.437
1403,2019-04-02,2.447
1402,2019-04-03,2.448
1401,2019-04-04,2.449
1400,2019-04-05,2.454
1399,2019-04-08,2.459
1398,2019-04-09,2.441
1397,2019-04-10,2.449
1396,2019-04-11,2.447
1395,2019-04-12,2.451
1394,2019-04-15,2.435
1393,2019-04-16,2.463
1392,2019-04-17,2.462
